round,train_loss,test_loss,accuracy,precision,recall,f1
1,1.860272099931749,1.6641810973485311,0.38962207558488304,0.3912133915826916,0.388752694545597,0.3665561269095413
2,1.6150241278344206,1.583732473282587,0.43431313737252547,0.4365651529488634,0.43492993719482154,0.41828147777158653
3,1.5079737187003632,1.476504882176717,0.473005398920216,0.4807807468686292,0.47241963943106013,0.4644710535707512
4,1.419903602531488,1.4358882342066084,0.4907018596280744,0.514550546363499,0.48863448470316795,0.48919444186088146
5,1.3696338115550346,1.3703165366536094,0.510497900419916,0.5144385792550005,0.5102382992260421,0.49933246568651074
6,1.3147932343917499,1.3293654214768182,0.5257948410317936,0.5233016475908022,0.5248030522405223,0.520623235645432
7,1.2782502294444351,1.316001209758577,0.52999400119976,0.5372086110268154,0.529826925450292,0.5219123054434536
8,1.2439616841377972,1.265349178654807,0.5446910617876425,0.5477227825645826,0.5431409959210829,0.543039863338864
9,1.2125261098646718,1.2448105340912228,0.5602879424115177,0.5547214188628302,0.5596184139430063,0.5522756246929015
10,1.1877128564768271,1.2496429988316127,0.5533893221355729,0.5529418367278396,0.5528804814342725,0.5455416461440614
